constructorResultsId,raceId,constructorId,points,status
14356,860,1,40,NULL
14357,860,9,30,NULL
14358,860,6,10,NULL
14359,860,15,12,NULL
14360,860,208,6,NULL
14361,860,5,2,NULL
14362,860,10,1,NULL
14363,860,131,0,NULL
14364,860,3,0,NULL
14365,860,206,0,NULL
14366,860,207,0,NULL
14367,861,6,25,NULL
14368,861,15,18,NULL
14369,861,1,15,NULL
14370,861,9,12,NULL
14371,861,208,10,NULL
14372,861,3,8,NULL
14373,861,10,8,NULL
14374,861,5,4,NULL
14375,861,131,1,NULL
14376,861,207,0,NULL
14377,861,206,0,NULL
14378,861,164,0,NULL
14379,862,131,25,NULL
14380,862,1,33,NULL
14381,862,9,22,NULL
14382,862,208,8,NULL
14383,862,3,10,NULL
14384,862,6,2,NULL
14385,862,15,1,NULL
14386,862,10,0,NULL
14387,862,5,0,NULL
14388,862,207,0,NULL
14389,862,206,0,NULL
14390,862,164,0,NULL
14391,863,9,37,NULL
14392,863,208,33,NULL
14393,863,131,11,NULL
14394,863,10,8,NULL
14395,863,6,8,NULL
14396,863,1,4,NULL
14397,863,15,0,NULL
14398,863,5,0,NULL
14399,863,207,0,NULL
14400,863,206,0,NULL
14401,863,164,0,NULL
14402,863,3,0,NULL
14403,864,3,25,NULL
14404,864,6,18,NULL
14405,864,208,27,NULL
14406,864,15,10,NULL
14407,864,9,8,NULL
14408,864,131,6,NULL
14409,864,1,6,NULL
14410,864,10,1,NULL
14411,864,5,0,NULL
14412,864,207,0,NULL
14413,864,206,0,NULL
14414,864,164,0,NULL
14415,865,9,37,NULL
14416,865,131,18,NULL
14417,865,6,23,NULL
14418,865,1,10,NULL
14419,865,10,10,NULL
14420,865,208,2,NULL
14421,865,3,1,NULL
14422,865,15,0,NULL
14423,865,5,0,NULL
14424,865,207,0,NULL
14425,865,206,0,NULL
14426,865,164,0,NULL
14427,866,1,25,NULL
14428,866,208,22,NULL
14429,866,15,17,NULL
14430,866,9,18,NULL
14431,866,6,11,NULL
14432,866,131,8,NULL
14433,866,10,0,NULL
14434,866,3,0,NULL
14435,866,5,0,NULL
14436,866,207,0,NULL
14437,866,206,0,NULL
14438,866,164,0,NULL
14439,867,6,25,NULL
14440,867,208,18,NULL
14441,867,131,23,NULL
14442,867,9,12,NULL
14443,867,10,16,NULL
14444,867,1,4,NULL
14445,867,15,2,NULL
14446,867,3,1,NULL
14447,867,5,0,NULL
14448,867,207,0,NULL
14449,867,206,0,NULL
14450,867,164,0,NULL
14451,868,9,40,NULL
14452,868,6,30,NULL
14453,868,208,18,NULL
14454,868,131,6,NULL
14455,868,1,5,NULL
14456,868,3,2,NULL
14457,868,15,0,NULL
14458,868,10,0,NULL
14459,868,5,0,NULL
14460,868,207,0,NULL
14461,868,206,0,NULL
14462,868,164,0,NULL
14463,869,6,25,NULL
14464,869,9,14,NULL
14465,869,1,18,NULL
14466,869,208,15,NULL
14467,869,15,20,NULL
14468,869,131,7,NULL
14469,869,10,2,NULL
14470,869,5,0,NULL
14471,869,3,0,NULL
14472,869,207,0,NULL
14473,869,206,0,NULL
14474,869,164,0,NULL
14475,870,1,33,NULL
14476,870,208,33,NULL
14477,870,9,16,NULL
14478,870,6,12,NULL
14479,870,3,6,NULL
14480,870,131,1,NULL
14481,870,10,0,NULL
14482,870,15,0,NULL
14483,870,5,0,NULL
14484,870,207,0,NULL
14485,870,206,0,NULL
14486,870,164,0,NULL
14487,871,1,25,NULL
14488,871,9,26,NULL
14489,871,208,15,NULL
14490,871,10,13,NULL
14491,871,6,10,NULL
14492,871,131,6,NULL
14493,871,5,6,NULL
14494,871,3,0,NULL
14495,871,15,0,NULL
14496,871,207,0,NULL
14497,871,206,0,NULL
14498,871,164,0,NULL
14499,872,1,25,NULL
14500,872,15,20,NULL
14501,872,6,27,NULL
14502,872,208,10,NULL
14503,872,131,14,NULL
14504,872,10,4,NULL
14505,872,3,1,NULL
14506,872,5,0,NULL
14507,872,207,0,NULL
14508,872,206,0,NULL
14509,872,164,0,NULL
14510,872,9,0,NULL
14511,873,9,25,NULL
14512,873,1,18,NULL
14513,873,6,19,NULL
14514,873,10,12,NULL
14515,873,131,10,NULL
14516,873,208,14,NULL
14517,873,5,2,NULL
14518,873,15,1,NULL
14519,873,206,0,NULL
14520,873,207,0,NULL
14522,873,3,0,NULL
14523,873,164,0,NULL
14524,874,9,27,NULL
14525,874,6,18,NULL
14526,874,15,15,NULL
14527,874,1,22,NULL
14528,874,208,8,NULL
14529,874,10,6,NULL
14530,874,3,4,NULL
14531,874,5,1,NULL
14532,874,131,0,NULL
14533,874,207,0,NULL
14534,874,206,0,NULL
14535,874,164,0,NULL
14536,875,9,43,NULL
14537,875,6,27,NULL
14538,875,208,16,NULL
14539,875,10,8,NULL
14540,875,5,6,NULL
14541,875,1,1,NULL
14542,875,15,0,NULL
14543,875,131,0,NULL
14544,875,3,0,NULL
14545,875,207,0,NULL
14546,875,206,0,NULL
14547,875,164,0,NULL
14548,876,9,40,NULL
14549,876,6,26,NULL
14550,876,1,22,NULL
14551,876,208,8,NULL
14552,876,10,4,NULL
14553,876,3,1,NULL
14554,876,131,0,NULL
14555,876,5,0,NULL
14556,876,15,0,NULL
14557,876,207,0,NULL
14558,876,206,0,NULL
14559,876,164,0,NULL
14560,877,208,25,NULL
14561,877,6,24,NULL
14562,877,9,15,NULL
14563,877,1,12,NULL
14564,877,3,14,NULL
14565,877,15,8,NULL
14566,877,10,2,NULL
14567,877,5,1,NULL
14568,877,131,0,NULL
14569,877,207,0,NULL
14570,877,206,0,NULL
14571,877,164,0,NULL
14572,878,1,35,NULL
14573,878,9,18,NULL
14574,878,6,27,NULL
14575,878,208,14,NULL
14576,878,10,4,NULL
14577,878,3,3,NULL
14578,878,15,0,NULL
14579,878,5,0,NULL
14580,878,131,0,NULL
14581,878,207,0,NULL
14582,878,206,0,NULL
14583,878,164,0,NULL
14584,879,1,25,NULL
14585,879,6,33,NULL
14586,879,9,20,NULL
14587,879,10,10,NULL
14588,879,131,6,NULL
14589,879,5,4,NULL
14590,879,15,2,NULL
14591,879,208,1,NULL
14592,879,207,0,NULL
14593,879,206,0,NULL
14594,879,164,0,NULL
14595,879,3,0,NULL
14596,880,208,26,NULL
14597,880,6,30,NULL
14598,880,9,23,NULL
14599,880,131,10,NULL
14600,880,10,10,NULL
14601,880,1,2,NULL
14602,880,5,0,NULL
14603,880,15,0,NULL
14604,880,3,0,NULL
14605,880,206,0,NULL
14606,880,207,0,NULL
14607,881,9,43,NULL
14608,881,131,27,NULL
14609,881,6,10,NULL
14610,881,208,14,NULL
14611,881,15,4,NULL
14612,881,1,2,NULL
14613,881,5,1,NULL
14614,881,3,0,NULL
14615,881,206,0,NULL
14616,881,207,0,NULL
14617,881,10,0,NULL
14618,882,6,33,NULL
14619,882,208,20,NULL
14620,882,131,15,NULL
14621,882,9,12,NULL
14622,882,1,10,NULL
14623,882,5,6,NULL
14624,882,10,4,NULL
14625,882,15,1,NULL
14626,882,3,0,NULL
14627,882,206,0,NULL
14628,882,207,0,NULL
14629,883,9,31,NULL
14630,883,208,33,NULL
14631,883,10,12,NULL
14632,883,131,12,NULL
14633,883,1,9,NULL
14634,883,6,4,NULL
14635,883,3,0,NULL
14636,883,15,0,NULL
14637,883,5,0,NULL
14638,883,207,0,NULL
14639,883,206,0,NULL
14640,884,6,40,NULL
14641,884,208,18,NULL
14642,884,9,22,NULL
14643,884,131,8,NULL
14644,884,10,6,NULL
14645,884,1,6,NULL
14646,884,5,1,NULL
14647,884,15,0,NULL
14648,884,3,0,NULL
14649,884,207,0,NULL
14650,884,206,0,NULL
14651,885,131,37,NULL
14652,885,9,33,NULL
14653,885,10,12,NULL
14654,885,1,8,NULL
14655,885,6,6,NULL
14656,885,5,4,NULL
14657,885,208,1,NULL
14658,885,15,0,NULL
14659,885,3,0,NULL
14660,885,206,0,NULL
14661,885,207,0,NULL
14662,886,9,37,NULL
14663,886,6,22,NULL
14664,886,131,25,NULL
14665,886,5,8,NULL
14666,886,10,7,NULL
14667,886,208,2,NULL
14668,886,1,0,NULL
14669,886,3,0,NULL
14670,886,206,0,NULL
14671,886,207,0,NULL
14672,886,15,0,NULL
14673,887,131,37,NULL
14674,887,9,18,NULL
14675,887,6,23,NULL
14676,887,208,10,NULL
14677,887,10,8,NULL
14678,887,5,4,NULL
14679,887,15,1,NULL
14680,887,3,0,NULL
14681,887,1,0,NULL
14682,887,207,0,NULL
14683,887,206,0,NULL
14684,888,9,31,NULL
14685,888,208,33,NULL
14686,888,6,12,NULL
14687,888,131,12,NULL
14688,888,1,12,NULL
14689,888,15,1,NULL
14690,888,10,0,NULL
14691,888,5,0,NULL
14692,888,3,0,NULL
14693,888,207,0,NULL
14694,888,206,0,NULL
14695,890,131,25,NULL
14696,890,208,26,NULL
14697,890,9,27,NULL
14698,890,6,14,NULL
14699,890,1,8,NULL
14700,890,3,1,NULL
14701,890,15,0,NULL
14702,890,5,0,NULL
14703,890,207,0,NULL
14704,890,206,0,NULL
14705,890,10,0,NULL
14706,891,9,35,NULL
14707,891,6,24,NULL
14708,891,131,27,NULL
14709,891,1,8,NULL
14710,891,208,4,NULL
14711,891,10,2,NULL
14712,891,5,1,NULL
14713,891,15,0,NULL
14714,891,3,0,NULL
14715,891,207,0,NULL
14716,891,206,0,NULL
14717,892,9,40,NULL
14718,892,6,30,NULL
14719,892,15,10,NULL
14720,892,131,10,NULL
14721,892,5,6,NULL
14722,892,208,4,NULL
14723,892,1,1,NULL
14724,892,3,0,NULL
14725,892,10,0,NULL
14726,892,207,0,NULL
14727,892,206,0,NULL
14728,893,9,25,NULL
14729,893,6,26,NULL
14730,893,208,15,NULL
14731,893,131,22,NULL
14732,893,1,10,NULL
14733,893,15,2,NULL
14734,893,10,1,NULL
14735,893,3,0,NULL
14736,893,5,0,NULL
14737,893,207,0,NULL
14738,893,206,0,NULL
14739,894,9,25,NULL
14740,894,208,33,NULL
14741,894,15,12,NULL
14742,894,131,16,NULL
14743,894,6,10,NULL
14744,894,1,5,NULL
14745,894,3,0,NULL
14746,894,207,0,NULL
14747,894,206,0,NULL
14748,894,5,0,NULL
14749,894,10,0,NULL
14750,895,9,43,NULL
14751,895,208,25,NULL
14752,895,6,13,NULL
14753,895,15,14,NULL
14754,895,131,4,NULL
14755,895,1,2,NULL
14756,895,10,0,NULL
14757,895,5,0,NULL
14758,895,3,0,NULL
14759,895,207,0,NULL
14760,895,206,0,NULL
14761,896,9,25,NULL
14762,896,131,26,NULL
14763,896,208,21,NULL
14764,896,6,12,NULL
14765,896,1,10,NULL
14766,896,10,6,NULL
