constructorStandingsId,raceId,constructorId,points,position,positionText,wins
24941,860,206,0,10,10,0
24942,860,207,0,11,11,0
24932,860,1,40,1,1,1
24940,860,3,0,9,9,0
24939,860,131,0,8,8,0
24938,860,10,1,7,7,0
24937,860,5,2,6,6,0
24936,860,208,6,5,5,0
24935,860,15,12,3,3,0
24934,860,6,10,4,4,0
24933,860,9,30,2,2,0
24777,861,1,55,1,1,1
24778,861,9,42,2,2,0
24779,861,6,35,3,3,1
24780,861,15,30,4,4,0
24781,861,208,16,5,5,0
24782,861,5,6,8,8,0
24783,861,10,9,6,6,0
24784,861,131,1,9,9,0
24785,861,3,8,7,7,0
24786,861,206,0,10,10,0
24787,861,207,0,11,11,0
24788,861,164,0,12,12,0
24789,862,1,88,1,1,1
24790,862,9,64,2,2,0
24791,862,6,37,3,3,1
24792,862,15,31,4,4,0
24793,862,208,24,6,6,0
24794,862,5,6,9,9,0
24795,862,10,9,8,8,0
24796,862,131,26,5,5,1
24797,862,3,18,7,7,0
24798,862,206,0,10,10,0
24799,862,207,0,11,11,0
24800,862,164,0,12,12,0
24824,863,1,92,2,2,1
24825,863,9,101,1,1,1
24826,863,6,45,4,4,1
24827,863,15,31,6,6,0
24828,863,208,57,3,3,0
24829,863,5,6,9,9,0
24830,863,10,17,8,8,0
24831,863,131,37,5,5,1
24832,863,3,18,7,7,0
24833,863,206,0,10,10,0
24834,863,207,0,11,11,0
24835,863,164,0,12,12,0
24847,864,164,0,12,12,0
24846,864,207,0,11,11,0
24844,864,3,43,6,6,1
24843,864,131,43,5,5,1
24842,864,10,18,8,8,0
24840,864,208,84,3,3,0
24845,864,206,0,10,10,0
24841,864,5,6,9,9,0
24839,864,15,41,7,7,0
24838,864,6,63,4,4,1
24837,864,9,109,1,1,1
24836,864,1,98,2,2,1
24848,865,1,108,2,2,1
24849,865,9,146,1,1,2
24850,865,6,86,3,3,1
24851,865,15,41,7,7,0
24852,865,208,86,4,4,0
24853,865,5,6,9,9,0
24854,865,10,28,8,8,0
24855,865,131,61,5,5,1
24856,865,3,44,6,6,1
24857,865,206,0,11,11,0
24858,865,207,0,10,10,0
24859,865,164,0,12,12,0
24860,866,1,133,2,2,2
24861,866,9,164,1,1,2
24862,866,6,97,4,4,1
24863,866,15,58,6,6,0
24864,866,208,108,3,3,0
24865,866,5,6,9,9,0
