pitStopId,raceId,driverId,stop,lap,time,duration,milliseconds
1,860,811,1,1,17:05:23,24.599,24599
2,860,817,1,1,17:05:35,32.319,32319
3,860,13,1,11,17:21:08,22.313,22313
4,860,3,1,12,17:22:31,23.203,23203
5,860,4,1,13,17:24:04,22.035,22035
6,860,155,1,13,17:24:20,25.346,25346
7,860,814,1,13,17:24:21,24.933,24933
8,860,17,1,14,17:25:41,23.302,23302
9,860,5,1,14,17:26:12,24.397,24397
10,860,18,1,16,17:28:30,23.275,23275
11,860,20,1,16,17:28:41,24.256,24256
12,860,813,1,16,17:28:53,23.427,23427
13,860,1,1,17,17:30:12,22.862,22862
14,860,808,1,18,17:32:32,24.579,24579
15,860,8,1,19,17:33:43,24.881,24881
16,860,818,1,19,17:33:54,23.203,23203
17,860,10,1,20,17:36:09,26.322,26322
18,860,819,1,21,17:37:59,25.303,25303
19,860,817,2,22,17:39:23,23.257,23257
20,860,815,1,24,17:41:45,23.882,23882
21,860,13,2,28,17:48:15,22.528,22528
22,860,811,2,30,17:51:46,23.777,23777
23,860,3,2,31,17:52:34,23.017,23017
24,860,814,2,33,17:55:58,24.579,24579
25,860,4,2,34,17:57:06,21.91,21910
26,860,5,2,34,17:58:11,24.58,24580
27,860,18,2,36,17:59:44,22.837,22837
28,860,1,2,36,17:59:54,23.464,23464
29,860,155,2,36,18:00:33,24.162,24162
30,860,819,2,35,18:01:35,48.984,48984
31,860,20,2,37,18:01:36,24.131,24131
32,860,17,2,37,18:01:58,22.915,22915
33,860,813,2,37,18:02:03,23.166,23166
34,860,8,2,37,18:02:13,23.31,23310
35,860,818,2,37,18:02:41,23.569,23569
36,860,10,2,36,18:02:46,25.046,25046
37,860,13,3,37,18:03:05,22.103,22103
38,860,5,3,37,18:04:32,28.888,28888
39,860,817,3,38,18:05:15,24.348,24348
40,860,811,3,47,18:22:20,30.888,30888
41,860,819,3,51,18:30:07,17.088,17088
42,861,815,1,1,16:05:39,25.671,25671
43,861,811,1,1,16:06:01,31.006,31006
44,861,814,1,2,16:07:52,23.988,23988
45,861,13,1,3,16:10:03,24.034,24034
46,861,10,1,3,16:10:14,25.096,25096
47,861,819,1,3,16:10:20,29.317,29317
48,861,18,1,4,16:12:01,24.305,24305
49,861,4,1,4,16:12:09,24.653,24653
50,861,807,1,4,16:12:17,23.856,23856
51,861,817,1,4,16:12:26,25.47,25470
52,861,808,1,4,16:12:28,24.718,24718
53,861,5,1,4,16:12:30,32.67,32670
54,861,1,1,5,16:14:12,24.271,24271
55,861,17,1,5,16:14:20,24.569,24569
56,861,20,1,5,16:14:27,25.658,25658
57,861,3,1,5,16:14:31,25.6,25600
58,861,813,1,5,16:14:32,25.535,25535
59,861,8,1,5,16:14:36,27.602,27602
60,861,155,1,5,16:14:39,28.122,28122
61,861,30,1,5,16:14:40,24.831,24831
62,861,811,2,7,16:20:17,26.269,26269
63,861,18,2,13,17:26:27,25.922,25922
64,861,3,2,13,17:26:30,25.199,25199
65,861,8,2,13,17:26:32,24.927,24927
66,861,155,2,13,17:26:34,26.255,26255
67,861,37,1,13,17:26:36,15.684,15684
68,861,808,2,13,17:26:37,29.359,29359
69,861,10,2,13,17:26:37,25.66,25660
70,861,811,3,13,17:26:38,24.98,24980
71,861,1,2,14,17:28:30,27.961,27961
72,861,4,2,14,17:28:34,22.864,22864
73,861,17,2,14,17:28:36,26.337,26337
74,861,13,2,14,17:28:39,24.42,24420
75,861,814,2,14,17:28:42,22.856,22856
76,861,813,2,14,17:28:42,21.621,21621
77,861,30,2,14,17:28:43,24.094,24094
78,861,817,2,14,17:28:45,24.539,24539
79,861,5,2,14,17:28:46,25.13,25130
80,861,815,2,15,17:30:37,24.52,24520
81,861,20,2,15,17:30:43,24.057,24057
82,861,818,1,15,17:30:48,24.216,24216
83,861,807,2,15,17:30:50,23.549,23549
84,861,819,2,15,17:31:03,36.542,36542
85,861,39,1,15,17:31:07,36.876,36876
86,861,18,3,15,17:31:07,36.517,36517
87,861,813,3,15,17:31:11,23.974,23974
88,861,37,2,16,17:33:35,38.887,38887
89,861,5,3,23,17:48:07,34.109,34109
90,861,18,4,24,17:50:04,23.509,23509
91,861,817,3,25,17:51:55,22.61,22610
92,861,3,3,26,17:53:46,23.05,23050
93,861,13,3,27,17:55:53,23.13,23130
94,861,817,4,37,18:16:06,23.648,23648
95,861,39,2,37,18:18:02,27.7,27700
96,861,13,4,38,18:18:08,26.934,26934
97,861,5,4,38,18:18:52,23.782,23782
98,861,17,3,39,18:19:05,23.195,23195
99,861,814,3,39,18:19:15,22.175,22175
100,861,811,4,39,18:19:18,23.824,23824
101,861,30,3,39,18:19:33,22.163,22163
102,861,813,4,39,18:19:34,23.409,23409
103,861,3,4,39,18:19:47,23.231,23231
104,861,18,5,39,18:19:49,23.477,23477
105,861,808,3,39,18:20:00,30.335,30335
106,861,10,3,39,18:20:20,25.39,25390
107,861,4,3,40,18:20:25,22.534,22534
108,861,819,3,39,18:20:48,32.224,32224
109,861,20,3,40,18:20:50,22.998,22998
110,861,8,3,40,18:20:58,25.041,25041
111,861,818,2,40,18:21:12,23.343,23343
112,861,807,3,40,18:21:13,23.358,23358
113,861,155,3,40,18:21:24,23.662,23662
114,861,37,3,39,18:22:06,28.483,28483
115,861,815,3,41,18:22:19,24.543,24543
116,861,1,3,41,18:22:31,26.338,26338
117,861,20,4,47,18:33:40,25.884,25884
118,862,4,2,27,15:50:50,20.136,20136
119,862,8,2,28,15:52:32,21.494,21494
120,862,818,2,28,15:53:07,23.623,23623
121,862,5,2,28,15:53:24,22.606,22606
122,862,811,2,29,15:54:32,21.323,21323
123,862,808,2,29,15:55:09,22.007,22007
124,862,807,2,30,15:56:37,21.027,21027
125,862,5,3,29,15:57:39,37.748,37748
126,862,20,2,31,15:57:50,21.146,21146
127,862,154,2,32,15:59:28,25.835,25835
128,862,37,2,31,15:59:35,23.488,23488
129,862,814,2,32,15:59:44,21.006,21006
130,862,813,2,33,16:01:26,21.229,21229
131,862,817,2,33,16:01:52,22.318,22318
132,862,39,2,32,16:01:55,23.151,23151
133,862,3,2,34,16:02:40,20.645,20645
134,862,17,3,34,16:03:03,20.471,20471
135,862,815,2,35,16:04:47,22.565,22565
136,862,10,2,36,16:07:41,21.515,21515
137,862,819,2,37,16:09:27,23.579,23579
138,862,1,3,38,16:09:51,20.177,20177
139,862,4,3,38,16:09:52,20.024,20024
140,862,155,3,38,16:10:03,21.795,21795
141,862,18,3,39,16:11:21,26.618,26618
142,862,13,2,41,16:15:10,20.051,20051
143,862,818,3,41,16:15:32,22.531,22531
144,862,819,3,48,16:28:45,13.981,13981
145,862,17,1,6,15:14:20,20.474,20474
146,862,155,1,9,15:19:30,21.551,21551
147,862,20,1,9,15:19:39,21.449,21449
148,862,807,1,9,15:19:47,32.407,32407
149,862,8,1,10,15:21:12,21.433,21433
150,862,1,1,10,15:21:13,20.903,20903
151,862,808,1,10,15:21:40,21.851,21851
152,862,18,1,11,15:22:56,20.563,20563
153,862,154,1,11,15:23:04,21.184,21184
154,862,814,1,11,15:23:08,20.387,20387
155,862,813,1,11,15:23:09,21.569,21569
156,862,818,1,11,15:23:22,22.835,22835
157,862,30,1,12,15:24:39,21.746,21746
158,862,4,1,12,15:24:44,20.296,20296
159,862,811,1,12,15:24:49,21.184,21184
160,862,5,1,12,15:25:06,22.713,22713
