raceId,year,round,circuitId,name,date,time,url
860,2012,1,1,Australian Grand Prix,18/03/2012,06:00:00,http://en.wikipedia.org/wiki/2012_Australian_Grand_Prix
861,2012,2,2,Malaysian Grand Prix,25/03/2012,08:00:00,http://en.wikipedia.org/wiki/2012_Malaysian_Grand_Prix
862,2012,3,17,Chinese Grand Prix,15/04/2012,07:00:00,http://en.wikipedia.org/wiki/2012_Chinese_Grand_Prix
863,2012,4,3,Bahrain Grand Prix,22/04/2012,12:00:00,http://en.wikipedia.org/wiki/2012_Bahrain_Grand_Prix
864,2012,5,4,Spanish Grand Prix,13/05/2012,12:00:00,http://en.wikipedia.org/wiki/2012_Spanish_Grand_Prix
865,2012,6,6,Monaco Grand Prix,27/05/2012,12:00:00,http://en.wikipedia.org/wiki/2012_Monaco_Grand_Prix
866,2012,7,7,Canadian Grand Prix,10/06/2012,18:00:00,http://en.wikipedia.org/wiki/2012_Canadian_Grand_Prix
867,2012,8,12,European Grand Prix,24/06/2012,12:00:00,http://en.wikipedia.org/wiki/2012_European_Grand_Prix
868,2012,9,9,British Grand Prix,08/07/2012,12:00:00,http://en.wikipedia.org/wiki/2012_British_Grand_Prix
869,2012,10,10,German Grand Prix,22/07/2012,12:00:00,http://en.wikipedia.org/wiki/2012_German_Grand_Prix
870,2012,11,11,Hungarian Grand Prix,29/07/2012,12:00:00,http://en.wikipedia.org/wiki/2012_Hungarian_Grand_Prix
871,2012,12,13,Belgian Grand Prix,02/09/2012,12:00:00,http://en.wikipedia.org/wiki/2012_Belgian_Grand_Prix
872,2012,13,14,Italian Grand Prix,09/09/2012,12:00:00,http://en.wikipedia.org/wiki/2012_Italian_Grand_Prix
873,2012,14,15,Singapore Grand Prix,23/09/2012,12:00:00,http://en.wikipedia.org/wiki/2012_Singapore_Grand_Prix
874,2012,15,22,Japanese Grand Prix,07/10/2012,06:00:00,http://en.wikipedia.org/wiki/2012_Japanese_Grand_Prix
875,2012,16,35,Korean Grand Prix,14/10/2012,06:00:00,http://en.wikipedia.org/wiki/2012_Korean_Grand_Prix
876,2012,17,68,Indian Grand Prix,28/10/2012,09:30:00,http://en.wikipedia.org/wiki/2012_Indian_Grand_Prix
877,2012,18,24,Abu Dhabi Grand Prix,04/11/2012,13:00:00,http://en.wikipedia.org/wiki/2012_Abu_Dhabi_Grand_Prix
878,2012,19,69,United States Grand Prix,18/11/2012,19:00:00,http://en.wikipedia.org/wiki/2012_United_States_Grand_Prix
