resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
21232,860,18,1,3,2,1,1,1,25,58,34:09.6,5649565,56,1,01:29.2,214.053,1
21233,860,20,9,1,6,2,2,2,18,58,2.139,5651704,57,2,01:29.4,213.503,1
21234,860,1,1,4,1,3,3,3,15,58,4.075,5653640,57,4,01:29.5,213.214,1
21235,860,17,9,2,5,4,4,4,12,58,4.547,5654112,57,3,01:29.4,213.452,1
21236,860,4,6,5,12,5,5,5,10,58,21.565,5671130,52,7,01:30.3,211.469,1
21237,860,155,15,14,13,6,6,6,8,58,36.766,5686331,55,10,01:30.6,210.668,1
21238,860,8,208,9,17,7,7,7,6,58,38.014,5687579,50,11,01:30.8,210.346,1
21239,860,815,15,15,22,8,8,8,4,58,39.458,5689023,46,12,01:30.8,210.151,1
21240,860,817,5,16,10,9,9,9,2,58,39.556,5689121,53,8,01:30.6,210.733,1
21241,860,814,10,11,15,10,10,10,1,58,39.737,5689302,57,9,01:30.6,210.703,1
21242,860,818,5,17,11,11,11,11,0,58,39.848,5689413,52,6,01:30.3,211.476,1
21243,860,3,131,8,7,12,12,12,0,58,57.642,5707207,53,14,01:30.9,209.948,1
21244,860,813,3,18,8,13,13,13,0,57,,,53,5,01:30.3,211.523,3
21245,860,10,206,24,20,14,14,14,0,57,,,43,19,01:34.3,202.548,11
21246,860,819,206,25,21,15,15,15,0,53,,,45,20,01:35.0,200.932,15
21247,860,811,3,19,14,16,16,16,0,52,,,49,13,01:30.9,210.123,4
21248,860,13,6,6,16,,R,17,0,46,,,46,15,01:31.9,207.644,4
21249,860,5,207,20,18,,R,18,0,38,,,26,17,01:33.7,203.759,22
21250,860,808,207,21,19,,R,19,0,34,,,27,16,01:33.2,204.806,38
21251,860,30,131,7,4,,R,20,0,10,,,4,18,01:34.0,203.048,6
21252,860,154,208,10,3,,R,21,0,1,,,,0,,,4
21253,860,807,10,12,9,,R,22,0,0,,,,0,,,4
21254,860,37,164,22,0,,F,23,0,0,,,,0,,,81
21255,860,39,164,23,0,,F,24,0,0,,,,0,,,81
21256,861,4,6,5,8,1,1,1,25,56,44:51.8,9891812,53,7,01:41.7,196.25,1
21257,861,815,15,15,9,2,2,2,18,56,2.263,9894075,54,3,01:41.0,197.531,1
21258,861,1,1,4,1,3,3,3,15,56,14.591,9906403,50,6,01:41.5,196.523,1
21259,861,17,9,2,4,4,4,4,12,56,17.688,9909500,52,2,01:41.0,197.539,1
21260,861,8,208,9,10,5,5,5,10,56,29.456,9921268,53,1,01:40.7,198.117,1
21261,861,811,3,19,13,6,6,6,8,56,37.667,9929479,55,5,01:41.4,196.785,1
21262,861,814,10,11,14,7,7,7,6,56,44.412,9936224,55,10,01:41.8,195.983,1
21263,861,818,5,17,18,8,8,8,4,56,46.985,9938797,55,12,01:41.9,195.785,1
21264,861,807,10,12,16,9,9,9,2,56,47.892,9939704,51,15,01:42.2,195.304,1
21265,861,30,131,7,3,10,10,10,1,56,49.996,9941808,53,9,01:41.8,196.096,1
21266,861,20,9,1,5,11,11,11,0,56,+1:15.527,9967339,50,4,01:41.3,196.905,1
21267,861,817,5,16,15,12,12,12,0,56,+1:16.828,9968640,54,8,01:41.8,196.104,1
21268,861,3,131,8,7,13,13,13,0,56,+1:18.593,9970405,51,11,01:41.9,195.898,1
21269,861,18,1,3,2,14,14,14,0,56,+1:19.719,9971531,50,14,01:42.1,195.443,1
21270,861,13,6,6,12,15,15,15,0,56,+1:37.319,9989131,56,13,01:42.1,195.537,1
21271,861,808,207,21,19,16,16,16,0,55,,,52,17,01:43.5,192.775,11
21272,861,10,206,24,20,17,17,17,0,55,,,50,20,01:44.8,190.486,11
