lapTimeId,raceId,driverId,lap,position,time,milliseconds
1,860,18,1,1,01:39.3,99264
2,860,18,2,1,01:33.4,93414
3,860,18,3,1,01:33.4,93350
4,860,18,4,1,01:33.1,93131
5,860,18,5,1,01:33.0,92984
6,860,18,6,1,01:33.1,93117
7,860,18,7,1,01:33.2,93244
8,860,18,8,1,01:33.1,93124
9,860,18,9,1,01:33.4,93394
10,860,18,10,1,01:33.8,93767
11,860,18,11,1,01:34.0,93985
12,860,18,12,1,01:33.6,93628
13,860,18,13,1,01:34.0,93970
14,860,18,14,1,01:34.2,94164
15,860,18,15,1,01:34.6,94645
16,860,18,16,2,01:54.0,114021
17,860,18,17,1,01:39.4,99358
18,860,18,18,1,01:33.3,93348
19,860,18,19,1,01:33.3,93300
20,860,18,20,1,01:32.9,92880
21,860,18,21,1,01:32.9,92903
22,860,18,22,1,01:33.1,93141
23,860,18,23,1,01:32.8,92840
24,860,18,24,1,01:32.7,92701
25,860,18,25,1,01:32.8,92760
26,860,18,26,1,01:32.2,92152
27,860,18,27,1,01:31.9,91943
28,860,18,28,1,01:31.8,91788
29,860,18,29,1,01:31.8,91813
30,860,18,30,1,01:31.8,91812
31,860,18,31,1,01:31.6,91565
32,860,18,32,1,01:31.6,91597
33,860,18,33,1,01:31.6,91632
34,860,18,34,1,01:32.0,91989
35,860,18,35,1,01:32.2,92215
36,860,18,36,2,01:51.3,111349
37,860,18,37,1,01:51.6,111615
38,860,18,38,1,02:44.3,164349
39,860,18,39,1,02:23.7,143729
40,860,18,40,1,02:39.7,159748
41,860,18,41,1,02:21.6,141646
42,860,18,42,1,01:31.4,91355
43,860,18,43,1,01:30.6,90567
44,860,18,44,1,01:30.2,90232
45,860,18,45,1,01:30.2,90220
46,860,18,46,1,01:30.0,90014
47,860,18,47,1,01:29.8,89828
48,860,18,48,1,01:30.7,90702
49,860,18,49,1,01:30.1,90081
50,860,18,50,1,01:29.9,89858
51,860,18,51,1,01:30.0,90049
52,860,18,52,1,01:30.0,90047
53,860,18,53,1,01:30.1,90124
54,860,18,54,1,01:29.7,89697
55,860,18,55,1,01:29.6,89645
56,860,18,56,1,01:29.2,89187
57,860,18,57,1,01:29.7,89738
58,860,18,58,1,01:30.8,90846
59,860,1,1,2,01:40.6,100622
60,860,1,2,2,01:34.3,94297
61,860,1,3,2,01:33.6,93566
62,860,1,4,2,01:33.3,93347
63,860,1,5,2,01:33.4,93446
64,860,1,6,2,01:33.4,93380
65,860,1,7,2,01:33.3,93315
66,860,1,8,2,01:33.5,93461
67,860,1,9,2,01:33.6,93561
68,860,1,10,2,01:33.5,93471
69,860,1,11,2,01:33.6,93617
70,860,1,12,2,01:33.7,93732
71,860,1,13,2,01:33.9,93881
72,860,1,14,2,01:34.3,94255
73,860,1,15,2,01:34.7,94730
74,860,1,16,1,01:36.4,96403
75,860,1,17,2,01:55.4,115417
76,860,1,18,4,01:40.7,100734
77,860,1,19,3,01:33.8,93813
78,860,1,20,3,01:34.2,94233
79,860,1,21,2,01:33.2,93156
80,860,1,22,2,01:33.1,93111
81,860,1,23,2,01:33.3,93285
82,860,1,24,2,01:31.7,91740
83,860,1,25,2,01:32.1,92068
84,860,1,26,2,01:31.6,91593
85,860,1,27,2,01:31.8,91814
86,860,1,28,2,01:31.8,91834
87,860,1,29,2,01:31.7,91743
88,860,1,30,2,01:31.7,91731
89,860,1,31,2,01:31.8,91820
90,860,1,32,2,01:32.4,92362
91,860,1,33,2,01:32.0,92000
92,860,1,34,2,01:32.1,92082
93,860,1,35,2,01:32.2,92209
94,860,1,36,4,01:51.4,111396
95,860,1,37,3,01:54.7,114656
96,860,1,38,3,02:32.4,152354
97,860,1,39,3,02:23.5,143484
98,860,1,40,3,02:40.7,160660
99,860,1,41,3,02:20.0,140014
100,860,1,42,3,01:33.6,93630
101,860,1,43,3,01:31.5,91502
102,860,1,44,3,01:30.5,90535
103,860,1,45,3,01:30.4,90378
104,860,1,46,3,01:29.9,89865
105,860,1,47,3,01:30.1,90108
106,860,1,48,3,01:30.1,90081
107,860,1,49,3,01:30.2,90179
108,860,1,50,3,01:30.0,90019
109,860,1,51,3,01:30.1,90052
110,860,1,52,3,01:29.9,89927
111,860,1,53,3,01:30.2,90188
112,860,1,54,3,01:30.0,90041
113,860,1,55,3,01:29.7,89696
114,860,1,56,3,01:29.6,89641
115,860,1,57,3,01:29.5,89538
116,860,1,58,3,01:29.9,89867
